Algoritmo,TamanhoVetor,Rodada,TempoExecucaoNano,NumTrocas,NumIteracoes
InsertSort,1000,1,2785300,241722,242721
SelectionSort,1000,1,2472100,992,500499
CombSort,1000,1,786600,4414,22735
MergeSort,1000,1,568400,5558,19952
QuickSort,1000,1,362300,6557,11040
ShellSort,1000,1,723600,7109,15124
RadixSort,1000,1,541200,4000,13035
Timsort,1000,1,812100,10432,18962
StoogeSort,1000,1,88171900,237673,64570081
InsertSort,1000,2,271300,251682,252681
SelectionSort,1000,2,416400,995,500499
CombSort,1000,2,787000,4368,21735
MergeSort,1000,2,108800,5656,19952
QuickSort,1000,2,71100,5056,10897
ShellSort,1000,2,720900,7675,15690
RadixSort,1000,2,461100,4000,13035
Timsort,1000,2,670500,10013,18540
StoogeSort,1000,2,115055600,246819,64570081
InsertSort,1000,3,1085400,247697,248696
SelectionSort,1000,3,231200,991,500499
CombSort,1000,3,819100,4461,22735
MergeSort,1000,3,122300,5579,19952
QuickSort,1000,3,53800,6184,12075
ShellSort,1000,3,731100,8332,16347
RadixSort,1000,3,447500,4000,13035
Timsort,1000,3,665500,10044,18571
StoogeSort,1000,3,114355700,243768,64570081
InsertSort,1000,4,477000,249468,250467
SelectionSort,1000,4,210300,996,500499
CombSort,1000,4,78600,4340,21735
MergeSort,1000,4,80700,5556,19952
QuickSort,1000,4,54700,6414,11696
ShellSort,1000,4,663700,7210,15225
RadixSort,1000,4,447300,4000,13035
Timsort,1000,4,585500,9985,18527
StoogeSort,1000,4,184848100,245250,64570081
InsertSort,1000,5,114800,244335,245334
SelectionSort,1000,5,289700,996,500499
CombSort,1000,5,214300,4459,23735
MergeSort,1000,5,126200,5604,19952
QuickSort,1000,5,34200,6689,11704
ShellSort,1000,5,142700,7869,15884
RadixSort,1000,5,439500,4000,13035
Timsort,1000,5,90500,10272,18792
StoogeSort,1000,5,113315600,239277,64570081
InsertSort,10000,1,11129300,24789135,24799134
SelectionSort,10000,1,16528100,9995,50004999
CombSort,10000,1,637100,62526,326770
MergeSort,10000,1,880300,72409,267232
QuickSort,10000,1,405700,91501,159860
ShellSort,10000,1,1178500,147991,268009
RadixSort,10000,1,1507100,50000,160044
Timsort,10000,1,1080500,117476,260233
StoogeSort,10000,1,84396714200,24551066,47071589413
InsertSort,10000,2,10794200,24862154,24872153
SelectionSort,10000,2,16718600,9986,50004999
CombSort,10000,2,509000,63162,336770
MergeSort,10000,2,880700,72401,267232
QuickSort,10000,2,440900,84907,155917
ShellSort,10000,2,752900,155629,275647
RadixSort,10000,2,725200,50000,160044
Timsort,10000,2,1891100,118049,260788
StoogeSort,10000,2,84034614800,24626548,47071589413
InsertSort,10000,3,11045600,24966261,24976260
SelectionSort,10000,3,16872700,9990,50004999
CombSort,10000,3,514100,63293,346770
MergeSort,10000,3,867500,72185,267232
QuickSort,10000,3,435000,80171,157705
ShellSort,10000,3,733600,156680,276698
RadixSort,10000,3,485600,50000,160044
Timsort,10000,3,2727100,117990,260713
StoogeSort,10000,3,83954324700,24729205,47071589413
InsertSort,10000,4,10918600,25061011,25071010
SelectionSort,10000,4,16503000,9991,50004999
CombSort,10000,4,501700,63104,336770
MergeSort,10000,4,865000,72349,267232
QuickSort,10000,4,436700,86533,158057
ShellSort,10000,4,672300,163798,283816
RadixSort,10000,4,475800,50000,160044
Timsort,10000,4,1277700,117586,260310
StoogeSort,10000,4,85386013600,24824691,47071589413
InsertSort,10000,5,10982400,25051594,25061593
SelectionSort,10000,5,16738100,9989,50004999
CombSort,10000,5,504800,63251,336770
MergeSort,10000,5,876400,72423,267232
QuickSort,10000,5,437800,85915,162906
ShellSort,10000,5,670000,148957,268975
RadixSort,10000,5,476200,50000,160044
Timsort,10000,5,906500,117872,260642
StoogeSort,10000,5,83483055500,24808475,47071589413
InsertSort,100000,1,1215491800,2511106515,2511206514
SelectionSort,100000,1,1665635500,99992,5000049999
CombSort,100000,1,6110800,810671,4066785
MergeSort,100000,1,11972700,892893,3337856
QuickSort,100000,1,5215700,1022137,1916442
ShellSort,100000,1,9345700,3115800,4615822
RadixSort,100000,1,3768200,600000,1900053
Timsort,100000,1,10110000,1342751,3260602
InsertSort,100000,2,1649403900,2492436184,2492536183
SelectionSort,100000,2,1648958600,99985,5000049999
CombSort,100000,2,6196100,811445,4166785
MergeSort,100000,2,8650700,892719,3337856
QuickSort,100000,2,5217000,1017988,1915091
ShellSort,100000,2,9162500,2882464,4382486
RadixSort,100000,2,3360900,600000,1900053
Timsort,100000,2,10665600,1345706,3263596
InsertSort,100000,3,1649225700,2495655308,2495755307
SelectionSort,100000,3,1671310900,99984,5000049999
CombSort,100000,3,6022100,810242,3966785
MergeSort,100000,3,11374400,892252,3337856
QuickSort,100000,3,5313600,1030554,2004394
ShellSort,100000,3,9251200,3030134,4530156
RadixSort,100000,3,2938400,600000,1900053
Timsort,100000,3,9839400,1339956,3257833
InsertSort,100000,4,1197336300,2501156337,2501256336
SelectionSort,100000,4,1668017800,99987,5000049999
CombSort,100000,4,6112800,813828,4066785
MergeSort,100000,4,8540400,892006,3337856
QuickSort,100000,4,5107100,1030643,2033765
ShellSort,100000,4,9111000,2913211,4413233
RadixSort,100000,4,2993700,600000,1900053
Timsort,100000,4,9956900,1341612,3259550
InsertSort,100000,5,1233100700,2504436724,2504536723
SelectionSort,100000,5,1686130900,99992,5000049999
CombSort,100000,5,6827400,812723,3966785
MergeSort,100000,5,9340300,892196,3337856
QuickSort,100000,5,5685700,1115670,2036860
ShellSort,100000,5,11357400,2961091,4461113
RadixSort,100000,5,3412400,600000,1900053
Timsort,100000,5,10984000,1342882,3260716
InsertSort,500000,1,30852341800,62507746336,62508246335
SelectionSort,500000,1,42085584900,499991,1.25E+11
CombSort,500000,1,38207800,4764317,24833473
MergeSort,500000,1,61452600,5028757,18951424
QuickSort,500000,1,30744300,6132863,12131434
ShellSort,500000,1,56463500,19877909,28377934
RadixSort,500000,1,20715100,3500000,11000062
Timsort,500000,1,64972300,7330685,18353530
InsertSort,500000,2,31069342700,62489754350,62490254349
SelectionSort,500000,2,42147100300,499982,1.25E+11
CombSort,500000,2,38968900,4767040,24833473
MergeSort,500000,2,55481200,5027753,18951424
QuickSort,500000,2,31552800,6014582,11398483
ShellSort,500000,2,58930900,21658050,30158075
RadixSort,500000,2,18313400,3500000,11000062
Timsort,500000,2,60610800,7335517,18358487
InsertSort,500000,3,31007912500,62552038367,62552538366
SelectionSort,500000,3,41955396700,499982,1.25E+11
CombSort,500000,3,37438300,4766930,25333473
MergeSort,500000,3,48418500,5028407,18951424
QuickSort,500000,3,29205700,5946705,11927549
ShellSort,500000,3,57226800,20687792,29187817
RadixSort,500000,3,19635400,3500000,11000062
Timsort,500000,3,57656700,7340713,18363458
InsertSort,500000,4,30669901400,62652686612,62653186611
SelectionSort,500000,4,41368851900,499990,1.25E+11
CombSort,500000,4,37415100,4766396,25833473
MergeSort,500000,4,49922700,5028230,18951424
QuickSort,500000,4,29245300,5765190,11363613
ShellSort,500000,4,55090200,19985191,28485216
RadixSort,500000,4,16932900,3500000,11000062
Timsort,500000,4,57066600,7328433,18351031
InsertSort,500000,5,30325535500,62605606306,62606106305
SelectionSort,500000,5,41442247500,499994,1.25E+11
CombSort,500000,5,36935800,4766577,25333473
MergeSort,500000,5,48160600,5028281,18951424
QuickSort,500000,5,29476700,5910838,11709342
ShellSort,500000,5,55818200,21584483,30084508
RadixSort,500000,5,16752600,3500000,11000062
Timsort,500000,5,57669500,7335449,18358553
InsertSort,1000000,1,1.23552E+11,2.50077E+11,2.50078E+11
SelectionSort,1000000,1,1.65736E+11,999988,5E+11
CombSort,1000000,1,76221000,10017381,49666815
MergeSort,1000000,1,105096000,10556440,39902848
QuickSort,1000000,1,63665800,12675596,24175382
ShellSort,1000000,1,136456000,46488332,64488358
RadixSort,1000000,1,42687600,7000000,22000062
Timsort,1000000,1,125023800,15159122,38704765
InsertSort,1000000,2,1.66086E+11,2.50084E+11,2.50085E+11
SelectionSort,1000000,2,1.65391E+11,999983,5E+11
CombSort,1000000,2,77372900,10010909,51666815
MergeSort,1000000,2,104144900,10555399,39902848
QuickSort,1000000,2,64356700,12365054,24808881
ShellSort,1000000,2,137290000,51967751,69967777
RadixSort,1000000,2,37534600,7000000,22000062
Timsort,1000000,2,122588400,15170301,38716018
InsertSort,1000000,3,1.27518E+11,2.49754E+11,2.49755E+11
SelectionSort,1000000,3,1.72011E+11,999985,5E+11
CombSort,1000000,3,91173500,10017367,49666815
MergeSort,1000000,3,127807700,10556165,39902848
QuickSort,1000000,3,68229600,12689378,24530943
ShellSort,1000000,3,124639900,46307268,64307294
RadixSort,1000000,3,36387100,7000000,22000062
Timsort,1000000,3,125013500,15158588,38703894
InsertSort,1000000,4,1.25702E+11,2.49865E+11,2.49866E+11
SelectionSort,1000000,4,1.70027E+11,999979,5E+11
CombSort,1000000,4,78482900,10015630,49666815
MergeSort,1000000,4,108593800,10555857,39902848
QuickSort,1000000,4,63886900,12739560,24486214
ShellSort,1000000,4,125504600,48221125,66221151
RadixSort,1000000,4,35848100,7000000,22000062
Timsort,1000000,4,126481400,15170147,38715476
InsertSort,1000000,5,1.71184E+11,2.50271E+11,2.50272E+11
SelectionSort,1000000,5,1.68029E+11,999987,5E+11
CombSort,1000000,5,77558700,10015308,49666815
MergeSort,1000000,5,110571500,10555954,39902848
QuickSort,1000000,5,64177700,12865170,25352818
ShellSort,1000000,5,125177200,50726138,68726164
RadixSort,1000000,5,35855200,7000000,22000062
Timsort,1000000,5,123984400,15161363,38706682
